Carimbo de data/hora;Notificação/Atualização;Nome(s) do(s) Técnico(s);Regional de Saúde;Tipologia;"Caso tenha selecionado “Outros” nas tipologias de eventos, especifique qual(is):  ";"Informe o número de municípios afetados, especificando quais são eles.";"Informe o número de municípios que não preencheram a comunicação de desastres (Formulário do REDCap), especificando quais são eles.  ";"Informe o número de municípios que publicaram decreto de situação de emergência, especificando quais são eles.  ";"Informe o número de municípios sem abastecimento de energia elétrica, especificando quais são eles.  ";"Informe o número de municípios sem abastecimento de água, especificando quais são eles.  ";"Informe o número de municípios com vias de acesso comprometidas, especificando quais são eles.  ";Informe o número de abrigos temporários abertos por município;Informe o número de pessoas desabrigadas por município.  ;Informe o número de pessoas desalojadas por município  ;Informe o número de pessoas feridas por município.  ;Informe o número de óbitos por município.  ;Informe o número de estabelecimentos de saúde afetados por município.;Informe o número de kits de medicamentos e insumos estratégicos solicitados por município.;"Informe a ocorrência de surtos em decorrência do evento, por município. ";Observações;Houve comprometimento da estrutura física da regional?;Há abastecimento de energia elétrica?;Há abastecimento de água?;Houve danos:;  Houve comprometimento da Rede de Frio?  ;Houve necessidade de remanejamento de imunobiológicos?;Por meio de qual(is) instância(s) a UDVE e/ou a UDVISA estabeleceram contato com o(s) município(s) afetado(s) e obtiveram as informações e os dados utilizados para o preenchimento deste formulário? ;"Caso tenha selecionado a opção “Outros”, especifique a(s) instância(s), setor(es) ou instituição(ões) por meio da(s) qual(is) foram obtidas as informações e os dados utilizados para o preenchimento deste formulário. ";Informações adicionais poderão ser descritas aqui
3/1/2026 11:00:13;Notificação (Enviar às 10h30).;UDVISA - DIEGO GIUSTI RODOWANSKI      UDVE - MARIANA HAHN;Araranguá;"Chuvas intensas, Inundação, Alagamento, Enxurrada, Vendaval, Granizo, Movimento de massa";;"15 - ARARANGUÁ, MARACAJÁ, BALN. ARROIO DO SILVA, MELEIRO, MORRO GRANDE, TURVO, TIMBÉ DO SUL, SOMBRIO, BALN. GAIVOTA, SANTA ROSA DO SUL, PASSO DE TORRES, SÃO JOAO DO SUL, ERMO, PRAIA GRANDE, JACINTO MACHADO";"15 - ARARANGUÁ, MARACAJÁ, BALN. ARROIO DO SILVA, MELEIRO, MORRO GRANDE, TURVO, TIMBÉ DO SUL, SOMBRIO, BALN. GAIVOTA, SANTA ROSA DO SUL, PASSO DE TORRES, SÃO JOAO DO SUL, ERMO, PRAIA GRANDE, JACINTO MACHADO";"15 - ARARANGUÁ, MARACAJÁ, BALN. ARROIO DO SILVA, MELEIRO, MORRO GRANDE, TURVO, TIMBÉ DO SUL, SOMBRIO, BALN. GAIVOTA, SANTA ROSA DO SUL, PASSO DE TORRES, SÃO JOAO DO SUL, ERMO, PRAIA GRANDE, JACINTO MACHADO";0;0;0;0;0;0;0;0;0;0;0;NAO HOUVE O ENVIO DE NENHUM REDCAP;Não;;;;;;;;
3/1/2026 11:00:30;Notificação (Enviar às 10h30).;"Helena Caetano, Clarice de Souza, Greice Martins";Tubarão;"Chuvas intensas, Movimento de massa";;18;18;0;0;0;56;14;176;379;14;0;0;1;0;Dados preliminares dois eventos ;Não;;;;;;;;Recebemos as infomações dados preliminares dos 18 municípios de nossa abrangência que seguem 
3/1/2026 11:01:19;Notificação (Enviar às 10h30).;UDVE Mônica Susete Roman Vanz.  UDVISA Marly Andrea Gonçalves Ribas;Videira;"Chuvas intensas, Inundação, Alagamento, Enxurrada, Vendaval, Granizo, Movimento de massa, Seca/Estiagem";;"20 municípios.  Arroio Trinta, Cacador, Calmon, Curitibanos, Fraiburgo, Frei Rogerio, Ibiam, Iomere, Lebon Regis, Macieira, Matos Costa, Pinheiro Preto, Ponte Alta do Norte, Rio das Antas, Salto Veloso, Santa Cecilia, Sao Cristovao do Sul, Tangara, Timbo Grande e Videira";somente 02 preencheram até às 10:30 h. IBIAM e PONTE ALTA DO NORTE;0;0;0;0;0;0;0;0;0;0;0;0;Até o momento apenas dois municípios preencheram o RedCap;Não;;;;;;;;"Estamos presentes na Defesa Civil de Caçador, juntamente com o Coordenador Paulo César Gaiovis"
3/1/2026 11:01:55;Notificação (Enviar às 10h30).;Silene Herbert / Cristine Walker;São Miguel do Oeste;Tornado;Tornado 1.3.2.1.1;"11 municípios - São José do Cedro -  Descanso, São Miguel do Oeste, Barra Bonita, Paraíso, Mondaí, Guarujá do Sul, Belmonte, Anchieta, Palma Sola, Guaraciaba";"Descanso, São Miguel do Oeste, Paraíso, Guarujá do Sul, Belmonte, Anchieta, Palma Sola, Guaraciaba";Barra Bonita e Palma Sola;Barra Bonita;Barra Bonita;Dionísio Cerqueira 03- Paraíso 03- Bandeirante 20 - Santa Helena 04- Anchieta 01 - Palma Sola 01 - Princesa 01 - São José do Cedro 01;Nenhum até o momento conforme informações recebidas;Barra Bonita 65- Santa Helena 41- Paraíso 40 - Mondaí 40- Guarujá do Sul 30 - Belmonte 25 - Dionisio Cerqueira 21 - Princesa 20 - Anchieta 08 - Palma Sola 05;Barra Bonita 10 - Santa Helena - 28 Paraíso 40 Belmonte 05 - Dionisio Cerqueira 09 - Anchieta 08 - Palma Sola 10;Barra Bonita 05 - Santa Helena 12 - Paraíso 40 - Mondaí 07 - Guarujá do Sul 08 - Belmonte 02- Dionisio Cerqueira 10 - Anchieta 03 - Palma Sola 10;01 em Dionísio Cerqueira até o momento;Nenhum conforme informações recebidas;01 kit para Barra Bonita;Nenhum até o momento;"Preenchimento conforme sistema da defesa civil, pois somente Barra Bonita fez contato solicitando auxilio";Não;;;;;;;;
3/1/2026 11:07:12;Notificação (Enviar às 10h30).;Raquel Faller/Josiane Verdi Schaade;Rio do Sul;Movimento de massa;;1;0;0;0;0;0;0;160;300;50;0;2;0;0;;Não;;;;;;;;
3/1/2026 11:10:10;Notificação (Enviar às 10h30).;UDVISA SIMONE ROBERTA ORLANDI CRISTIANE DECESARO KONZEN UDVE MARCIELE BOGO GERSA SMO ADM LARISSA DEMARCO;São Miguel do Oeste;"Vendaval, Tornado, Outros";ACIDENTE COM PRODUTOS PERIGOSOS ;"09 MUNICIPIOS: SÃO MIGUEL DA BOA VISTA, CUNHA PORÃ, CUNHATAÍ, FLOR DO SERTÃO, IRACEMINHA, MARAVILHA, PALMITOS, RIQUEZA, SAUDADES";"16 MUNICIPIOS: BOM JESUS DO OESTE, CAIBI, CAMPO ERE, CUNHA PORA, CUNHATAI, FLOR DO SERTÃO , IRACEMINHA, MARAVILHA, PALMITOS,RIQUEZA, ROMELANDIA, SALTINHO, SANTA TEREZINHA DO PROGRESSO, SAUDADES, SAO MIGUEL DA BOA VISTA, E TIGRINHOS.";"16 MUNICIPIOS: BOM JESUS DO OESTE, CAIBI, CAMPO ERE, CUNHATAI, FLOR DO SERTAO, IRACEMINHA, MARAVILHA, MODELO, PALMITOS , RIQUEZA, ROMELANDIA, SALTINHO, SANTA TEREZINHA DO PROGRESSO, SAO MIGUEL DA BOA VISTA, SAUDADES, TIGRINHOS.";0 MUNICIPIOS ;0 MUNICIPIOS ;0 MUNICIPIOS ;01 ABRIGO ABERTO POR MUNICIPIO TOTAL DE 08 MUNICIPIOS;"44 PESSOAS MUNICIPIO DE MODELO 100 RIQUEZA , 60 MARAVILHA, 40 SÃO MIGUEL DA BOA VISTA, 30 FLOR DO SERTÃO, 21 SALTINHO, 20 SAUDADES, 16 CUNHATAI, 15 CUNHA PORA , 0 PALMITOS";"32 PESSOAS MUNICIPIO DE MODELO, 100 RIQUEZA, 4 MARAVILHA, 50 SÃO MIGUEL DA BOA VISTA, 12 FLOR DO SERTÃO, 21 SALTINHO, 10 SAUDADES, 0 CUNHATAI, 0 CUNHA PORA E 0 PALMITOS";"40 RIQUEZA, 4 MARAVILHA, 4 SÃO MIGUEL DA BOA VISTA, 13 FLOR DO SERTÃO, 0 SALTINHO, 0 SAUDADES, 0 CUNHATAI, 0 CUNHA PORA, 0 PALMITOS";"0 RIQUEZA, 3 MARAVILHA, 0 SÃO MIGUEL DA BOA VISTA, 0 FLOR DO SERTÃO, 0 SALTINHO, 0 SAUDADES, 0 CUNHATAI, 0 CUNHA PORA, 0 PALMITOS ";0 ESTABELECIMENTO DE SAÚDE AFETADO.;0 MUNICIPIOS ;0 SURTOS ;"FORMULÁRIOS DISTINTOS PARA CONSULTA  E COMPILADO DE INFORMAÇÕES, REDCAP E LEVANTAMENTO MUNICIPIOS SIMULADO DEFESA CIVIL. ";Não;;;;;;;;RECEBIDO ALERTA DA DEFESA CIVIL POR SMS.
3/1/2026 11:11:58;Notificação (Enviar às 10h30).;UDVE - Daniela Debastiani e Celita de Fátima Almeida UDVISA: Aline Mineto Sikoski;Xanxerê;"Inundação, Vendaval, Tornado, Seca/Estiagem, Outros";22110;"21 municípios - Abelardo Luz, Bom Jesus, Campo Erê, Coronel Martins, Entre Rios, Faxinal dos Guedes, Galvão, Ipuaçu, Jupiá, Lajeado Grande, Marema, Novo Horizonte, Ouro Verde, Passos Maia, Ponte Serrada, São Bernardino, São Domingos, São Lourenço do Oeste, Vargeão, Xanxerê e Xaxim";"Abelardo Luz, Bom Jesus, Campo Erê, Entre Rios, Galvão, Ipuaçu, Jupiá, Lajeado Grande, Marema, Novo Horizonte, Passos Maia, São Domingos, São Lourenço do Oeste, Xanxerê, Xaxim";Até o momento nenhum;"5 - Ponte Serrada, Coronel Martins, São Bernardino, Faxinal dos Guedes, Vargeão";1 - Marema;Não temos informações até momento;"Ponte Serrada 1, Coronel Martins 1, São Bernardino 1, Faxinal dos Guedes 1, Vargeão 2";"São Bernardino 8, Vargeão 1";"Coronel Martins 10, São Bernardino 3, Vargeão 10";"São Bernardino 3, Vargeão 1";Sem óbitos até o momento;"Faxinal dos Guedes 2, Ponte Serrada 2, São Bernardinho 2, Coronel Martins 2, Vargeão 2.";Sem pedidos até o momento;Sem ocorrência de surtos até o momento.;A maioria dos municípios ainda não conseguiu preencher o formulário de Comunicado de Desastre.;Não;;;;;;;;
3/1/2026 11:13:04;Notificação (Enviar às 10h30).;Eliane Techio/ Juceli Bonamigo/ Katia Valentini;Joaçaba;Alagamento;;01 Município;O município não preencheu o Red Cap;Em andamento;Em levantamento;Em levantamento;Em levamtamento;um abrigo;15 desabrigados;20 desalojados;nenhum informado até o momento;nenhum informado até o momento;Nenhum;Não foi solicitado até o momento;Não foi informado até o momento nenhum surto;Nenhuma informação ;Não;;;;;;;;Nenhuma informação 
3/1/2026 11:17:33;Notificação (Enviar às 10h30).;Eliane Techio/ Juceli Bonamigo/ Katia Valentini;Joaçaba;Vendaval;;03 municípios;Nenhum dos 3 municípios;Em andamento;Em levantamento;Em levantamento;Em levantamento ;01 abrigo;Erval Velho 27 desabrigados;Erval Velho 35 desalojados;Nenhuma ;Nenhum óbito;Nenhum ;Nenhum município solicitou Kit;Nenhum surto até o momento foi informado;Nenhuma informação ;Não;;;;;;;;Nenhuma informação 
3/1/2026 11:18:08;Notificação (Enviar às 10h30).;"Katia Regina Valentini, Eliane Techio, Juceli Bonamigo";Joaçaba;Enxurrada;;"2 - HERVAL D'OESTE, LACERDÓPOLIS";Os municipios afetados não preencheram a planilha REDCap;Em andamento;Em levantamento;Em levantamento; Em levantamento;Lacerdópolis - 1;Lacerdópolis - 3;"Herval D'Oeste - 60, Lacerdópolis - 10";Não há;Não há;Não há;Não há;Não há;x;Não;;;;;;;;x
3/1/2026 11:26:15;Notificação (Enviar às 10h30).;"UDVE: Juceli Boanamigo; Eiane Techio; Katia Valentin";Joaçaba;Inundação;;2;2;Não recebido;Em levantamento;em levantamento;em levantamento;" 1- Joaçaba; 1 Jabora";" 80- Joaçaba;  32 -Jabora";"52- Joaçaba;  17 -Jabora";2 Jabora;0;Não ha informação;não;não;;Não;;;;;;;;
3/1/2026 11:45:14;Notificação (Enviar às 10h30).;"Débors Ssmira da Costa - UDVE, Marta Santos- UDVE, Rita Rebonatto Oltramari- UDVISA, Adriana Brum- Vigidesastres";Chapecó;"Chuvas intensas, Inundação, Alagamento, Enxurrada, Vendaval, Granizo, Outros";"Incêndio, Rompimento de Barragem";"19 atingidos, Àguas de Chapecó, Águas Frias, Caxambu do Sul, Pinhalzinho, Paial, Arvoredo, Santiago do Sul, Nova Erechim, Cordilheira Alta, Jardinóplis, São Carlos, Sul Brasil, Nova Itaberaba, Planalto Alegre, Guatambú, Chapecó, União do Oeste,  Serra Alta, Coronel Freitas";Formosa do Sul;19;36;19;57;20;632;989;96;5;32;0;0;Aguardando atualização de informações;Não;;;;;;;;
3/1/2026 11:46:48;Notificação (Enviar às 10h30).;UDVE Kelen Cristina de Almeida Bart  - UDVISA Alex Lucas Carlos;Florianópolis;"Chuvas intensas, Inundação, Alagamento, Enxurrada, Outros";"Erosão costeira/marinha. Transporte de produtos perigosos, Incêndio, deslizamento ";"16 Municípios atingidos: São José, Nova Trento, Canelinha, Major Gercino, Águas Mornas, Tijucas, São Pedro de Alcântara, Angelina, Rancho Queimado, Anitápolis, São Bonifácio, Antonio Carlos, Paulo lopes, Palhoça, Garopaba e Leoberto Leal";06 municípios;"16 Municípios atingidos: São José, Nova Trento, Canelinha, Major Gercino, Águas Mornas, Tijucas, São Pedro de Alcântara, Angelina, Rancho Queimado, Anitápolis, São Bonifácio, Antonio Carlos, Paulo lopes, Palhoça, Garopaba e Leoberto Leal";"05 Municípios: Canelinha, Biguaçu, Governador Celso Ramos, São José, Florianópolis";"06 Municípios: Tijucas, Canelinha, Gov. Celso Ramos, São José, Florianópolis, Paulo Lopes
";"11 Municípios: São José 500, Canelinha 26, Águas Mornas 01, Tijucas 6, São Pedro de Alcântara 12, Angelina 35, Rancho Queimado 01, Paulo lopes 01, Palhoça 3, Garopaba 02 e Leoberto Leal 05";"03 Abrigos: Tijucas 01, Florianópolis 01, Palhoça 01";"São José 566, Nova Trento 150, Canelinha 113, Major Gercino 36, Águas Mornas 23, Tijucas 20, São Pedro de Alcântara 17, Angelina 15 , Rancho Queimado 10, Anitápolis 09";"São José 1600, Nova Trento 150, Canelinha 322, Major Gercino 53, Águas Mornas 57, Tijucas 30, São Pedro de Alcântara 31, Angelina 15, Rancho Queimado 10, Anitápolis 27, São Bonifácio 15, Antonio Carlos 10, Paulo lopes 10, Leoberto Leal 13";"São José 23, Canelinha 12, Angelina 05, Rancho Queimado 02, Anitápolis 02,  Paulo lopes 02, Palhoça 16";"São José 17, Palhoça 02";"São José 15, Canelinha 12, Angelina 08";Não solicitarão;Não informado;;Não;;;;;;;;
3/1/2026 12:11:35;Notificação (Enviar às 10h30).;"UDVE - Marcello José Ramos; UDVISA - Daiane de Castro e Simone Nascimento da Silva Pereira";Itajaí;"Chuvas intensas, Inundação, Alagamento, Enxurrada";;"5 MUNICÍPIOS: Balneário Camboriú, Camboriú, Itapema, Luiz Alves e Navegantes ";"6 MUNICÍPIOS: Balneário Piçarras, Bombinhas, Ilhota, Itajaí, Penha e Porto Belo";"11 MUNICÍPIOS, segundo Gerência Regional de Defesa Civil (Rocha): Balneário Camboriú, Balneário Piçarras, Bombinhas, Camboriú, Ilhota, Itajaí, Itapema, Luiz Alves, Navegantes, Penha e Porto Belo";"4 MUNICÍPIOS: BalneárioCamboriú (parcial); Camboriú (total); Itapema (total), Luiz Alves (total); Navegantes (total)";"2 MUNICÍPIOS: Camboriú (parcial); Itapema (parcial)";Sem informação ;"Balneário Camboriú (1); Camboriú (1); Itapema (1); Luiz Alves (1); Navegantes (2); ";"Balneário Camboriú (11); Camboriú (302); Itapema (449); Luiz Alves (11)";"Balneário Camboriú (16); Itapema (104); Luiz Alves (152)";Camboriú (6);"Nenhum óbito na planilha, mas segundo Gerência Regional de Defesa Civil (Rocha), Balneário Camboriú com 2 óbitos e Ilhota com 1 óbito ";"Balneário Camboriú (11); Camboriú (11); Itapema (4); Luiz Alves (2); Navegantes (4)";Sem informação ;Sem informação ;;Não;;;;;;;;Sem informação 
3/1/2026 12:11:42;Notificação (Enviar às 10h30).;Simone N. S. Pereira/Daiane Castro ( UDVISA) Marcello Ramos UDVE;Itajaí;"Chuvas intensas, Inundação, Alagamento, Enxurrada";;5;6;11;"04 com interrupção total(Itapema,, Camboriú, Navegantes e Luiz Alves) Bal.Camboriú parcial";"Itapema e Camboriú com interrupção parcial de água de algumas formas de água ,os demais não resposnderam";Sem informação ;" Itapema 1, Navegantes 2, Camboriú 1,Bal.Camboiu1,Luiz Alves 7";"Itapema+ 449 pessoas),Navegantes 0, Camboriú 302,Bal.Camboriu11,Luiz Alves 11";"Itapema 104,Val.Camboriú 16,Luiz Alves 152camv";Camboriú 06;Conforme informações da defesa civil Bal.Camboriú com 2 óbitos e Ilhota 01;"Bal.Camboriú 11, Camboriú 11,Itapema 4,Luiz Alves 2,Navegantes 4";Sem informação ;Sem informações ;;Não;;;;;;;;
3/1/2026 12:13:08;Atualização (Enviar às 15h).;UDVE Fernanda de Menezes Siqueira de Melo  UDVISA Marcia Rodrigues da Silva;Joinville;"Chuvas intensas, Outros";Desastres relacionados a transporte de produtos perigosos - Transporte rodoviário - vazamento de óleo diesel;"6 Araquari, Barra do Sul, Garuva, Itapoá, Joinville e São Francisco do Sul";"5 Araquari, Barra do Sul, Garuva, Itapoá, Joinville ";0;1 São Francisco do Sul;1 São Francisco do Sul;1 Itapoá;"3 São Francisco do Sul, Araquari e Joinville";"Araquari: 12;  Joinville: 20; ";"Araquari: 10; Barra do Sul: 80; Garuva: 13; Joinville: 100; São Fco do Sul: 200.";"Barra do Sul: 20; Garuva: 4";0;0;0;0;;Não;;;;;;;;
3/1/2026 12:22:56;Notificação (Enviar às 10h30).;"udve-Claudia Lopes; UDVISA- Saulo Tadeu Branco Ramos ";Lages;"Chuvas intensas, Inundação, Alagamento, Enxurrada, Outros";Desastres relacionados a produtos perigosos;"11 - Anita Garibaldi, Bom JARDIM DA SERRA, CERRO NEGRO, BOM RETIRO, CERRO NEGRO,OTACÍLIO COSTA, PAINEL, CORREIA PINTO, RIO RUFINO, PONTE ALTA, SÃO JOAQUIM, SÃO JOSÉ DO CERRITO, URUBICI, URUPEMA";"8 - ANITA GARIBALDI, BOM RETIRO, CERRO NEGRO, OTACÍLIO COSTA, PAINEL, SÃO JOAQUIM, SÃO JOSÉ DO CERRITO, URUBICI, URUPEMA";"10 - ANITA GARIBALDI, BOM JARDIM, BOM RETIRO, CERRO NEGRO, OTACÍLIO COSTA, PAINEL, RIO RUFINO, SÃO JOAQUIM, SÃO JOSÉ DO CERRITO, URUBICI, URUPEMA";1 - rIO RUFINO;1 - CORREIA PINTO;"6 - BOM JARDIM, BOM RETIRO, CERRO NEGRO, PAINEL, RIO RUFINO E SÃO JOAQUIM ";"ANITA GARIBALDI (1), BOM JARDIM (2),BOM RETIRO (1), CERRO NEGRO (1), CORREIA PINTO (2), OTACÍLIO COSTA (1), PAINEL (1), RIO RUFINO (1),SÃO JOAQUIM (1), SÃO JOSÉ DO CERRITO(1), URUBICI(1), URUPEMA(1)";"ANITA GARIBALDI (0), BOM JARDIM (60),BOM RETIRO (0), CERRO NEGRO (15), CORREIA PINTO (40), OTACÍLIO COSTA (0), PAINEL (15), RIO RUFINO (17),SÃO JOAQUIM (0), SÃO JOSÉ DO CERRITO(80), URUBICI(80), URUPEMA(6)";"ANITA GARIBALDI (30), BOM JARDIM (0),BOM RETIRO (1020), CERRO NEGRO (0), CORREIA PINTO (40), OTACÍLIO COSTA (0), PAINEL (35), RIO RUFINO (52),SÃO JOAQUIM (17), SÃO JOSÉ DO CERRITO(20), URUBICI(55), URUPEMA(6)";Não teve pessoas feridas ;Não teve óbitos;Não houve estabelecimentos de saúde afetados;Não houve solicitação de kits de medicamento;Não houve ocorrência de surtos ;"A maioria dos municípios não preencheu a comunicação de risco, maior parte dos dados obtidos com Defesa Civil ";Não;;;;;;;;"Município sede Lages, informações no período da tarde"
3/1/2026 13:55:46;Notificação (Enviar às 10h30).;UDVS: Alys Batista  e Marilene Novello UDVE: Grazielle Machado e Dayane Domingues;Mafra;"Chuvas intensas, Alagamento, Enxurrada, Vendaval, Tornado, Granizo";;"MAFRA, RIO NEGRINHO, SÃO BENTO DO SUL, CAMPO ALEGRE, ITAIÓPOLIS, PAPANDUVA, MONTE CASTELO, MAJOR VIEIRA, BELA VISTA DO TOLDO, IRINEÓPOLIS, CANOINHAS, PORTO UNIÃO, TRÊS BARRAS";"8 = RIO NEGRINHO, PAPANDUVA, MONTE CASTELO, MAJOR VIEIRA, BELA VISTA DO TOLDO, IRINEÓPOLIS, TRÊS BARRAS, CAMPO ALEGRE";"MAFRA, SÃO BENTO DO SUL, CAMPO ALEGRE, MAJOR VIEIRA, BELA VISTA DO TOLDO, IRINEÓPOLIS, CANOINHAS, PORTO UNIÃO, TRÊS BARRAS. OBS: PAPANDUVA, MONTE CASTELO e RIO NEGRINHO NÃO SOUBERAM INFORMAR.";"6 = MAFRA, SÃO BENTO DO SUL, CAMPO ALEGRE, MAJOR VIEIRA, IRINEÓPOLIS, PORTO UNIÃO, ";"3 = MAFRA, CAMPO ALEGRE, CANOINHAS.";"10 = MAFRA, SÃO BENTO DO SUL, CAMPO ALEGRE, ITAIÓPOLIS, MAJOR VIEIRA, BELA VISTA DO TOLDO, IRINEÓPOLIS, CANOINHAS, PORTO UNIÃO, TRÊS BARRAS.";"SÃO BENTO DO SUL: 1; CAMPO ALEGRE: 1; MAJOR VIEIRA: 1; BELA VISTA DO TOLDO: 1; IRINEÓPOLIS: 1; CANOINHAS: 1, PORTO UNIÃO: 2; TRÊS BARRAS: 1.";"SÃO BENTO DO SUL: 23, CAMPO ALEGRE: 160;  MAJOR VIEIRA: 40; BELA VISTA DO TOLDO: 26; IRINEÓPOLIS: 29; CANOINHAS: 15; PORTO UNIÃO: 80, TRÊS BARRAS: 60.";"MAFRA: 45; SÃO BENTO DO SUL: 50; CAMPO ALEGRE: 40; MAJOR VIEIRA: 200; BELA VISTA DO TOLDO: 28; IRINEÓPOLIS: 9; CANOINHAS: 35; PORTO UNIÃO: 100; TRÊS BARRAS: 60";"CAMPO ALEGRE: 17; TRÊS BARRAS: 6; IRINEÓPOLIS: 15; MAJOR VIEIRA: 1";0;"MAFRA: 1; BELA VISTA DO TOLDO: 1.";"CAMPO ALEGRE: 30; IRINEÓPOLIS: 38.";0;"TIVEMOS DIFICULDADES DE OBTER INFORMAÇÕES DOS MUNICÍPIOS DE PAPANDUVA, RIO NEGRINHO E MONTE CASTELO. FOI POSSÍVEL OBSERVAR A DESARTICULAÇÃO ENTRE OS ÓRGÃOS DE VÁRIOS MUNICÍPIOS RESPONSÁVEIS POR ATENDER DESASTRES.";Não;;;;;;;;
3/1/2026 14:36:52;Atualização (Enviar às 15h).;Francine Jordana Lunelli e Carolina Inês Rozza Michalak.;Jaraguá do Sul;"Chuvas intensas, Alagamento, Movimento de massa, Outros";"BARRA VELHA: Caminhão tanque com vazamento de hipoclorito - ONU 1791, colisão embaixo do viaduto com ônibus com crianças, carro e moto. CORUPÁ: Acidente caminhão (óleo Dieses), com dois veículos, vazamento de combustível para o Rio Itapocu.";"7 - Barra Velha, Corupá, Guaramirim, Jaraguá do Sul, Massaranduba, São João do Itaperiú e Schroeder.";"5 - Barra Velha, Corupá, Guaramirim, Schroeder, São João do Itaperiú.";"5 - Barra Velha, Guaramirm, Jaraguá do Sul, Massaranduba, São João do Itaperiú e Schroeder.";"2 - Jaraguá do Sul (apenas no local do desmoronamento; São João do Itaperiú (apenas no bairro Santa Cruz).";"1 - Jaraguá do Sul (no local do desmoronamento); ";"3 - Barra Velha; Massaranduba (parcialmente); São João do Itaperiú; Schroeder: Ruas: Gabriel Vargas, Regina Tissi e Osvaldo Lenzi.";"Corupá: 1; Guaramirim 1; Jaraguá do Sul: 1; Massaranduba 1, São João do Itaperiú 1; Schroeder:1.";"Corupá: 56; Guaramirim: 59; Jaraguá do Sul: 100; Massaranduba: 63; São João do Itaperiú: 8; Schroeder: 43.";"Jaraguá do Sul 220; Massaranduba: 60; São João do Itaperiú: 4.";"Barra Velha: 28; Corupá: 2; Guaramirim: 0; Jaraguá do Sul: 31; Massaranduba: 23; São João do Itaperiú: 2; Schroeder: 4.";"Barra Velha: 5; Corupá: 1; Jaraguá do Sul:3; Massranduba: 2.";Schroeder: 1 - PA municipal.;Nenhum.;"Barra Velha: Foram atendidos 24 paciente com intoxicação exógena (hipoclorito de sódio), sendo que 8 pacientes não conseguimos informações dos dados devido alguns estarem inconscientes e outros sem documentos.";Massaranduba: solicitou 27 Kits dormitório. Corupá solicitou cobertores para os desabrigados.;Não;;;;;;;;"CORUPÁ: Solicitaram cobertores. acionaram o IMA devido ao vasamento de combustível no Rio Itapocu. Água do rio deslocando de 2 a 3 km/h em direção ao local de captação de água da estação de tratamento de Jaraguá do Sul, tempo estimado 6h. Corupá
Descrição da ocorrência:
Foi registrada colisão envolvendo dois veículos de passeio e um caminhão-tanque destinado ao transporte de combustível (óleo diesel). 
O caminhão-tanque sofreu danos estruturais, ocasionando vazamento estimado em aproximadamente 5.000 litros de óleo diesel, atingindo o Rio Itapocu e causando contaminação ambiental, demandando ações imediatas de contenção e mitigação.
GUARAMIRIM: 15 famílias na área afetadas.
MASSARANDUBA: Ocorrência de chuvas intensas provocando enxurrada com elevação rápida do nível de cursos d’água, alagamentos pontuais e deslizamento de terra em áreas de encosta. Registrou-se ainda o deslizamento parcial de trecho da Estrada Rio Molha, ocasionando a queda de uma van que transitava pelo local, com 13 ocupantes. Houve evacuação de residências na localidade de Ribeirão Gustavo e Estrada Rio Molha, interdição parcial de vias e ativação do Sistema de Comando em Operações para coordenação das ações de resposta."
