MUNICÍPIO,Número de notificações de irregularidades finalizadas pela VISA
CALMON,0
CURITIBANOS,0
FRAIBURGO,0
FREI ROGÉRIO,0
IBIAM,0
IOMERÊ,0
LEBON RÉGIS,0
MACIEIRA,0
MATOS COSTA,0
PINHEIRO PRETO,0
PONTE ALTA DO NORTE,0
RIO DAS ANTAS,0
SALTO VELOSO,1
SANTA CECÍLIA,0
SÃO CRISTOVÃO DO SUL,0
TANGARÁ,0
TIMBÓ GRANDE,0
VIDEIRA,0
,
ABELARDO LUZ,14
BOM JESUS,0
CAMPO ERÊ,0
CORONEL MARTINS,0
ENTRE RIOS,0
FAXINAL DOS GUEDES,0
GALVÃO,0
IPUAÇU,1
JUPIÁ,0
LAJEADO GRANDE,0
MAREMA,0
NOVO HORIZONTE,0
OURO VERDE,0
PASSOS MAIA,0
PONTE SERRADA,1
SÃO BERNARDINO,0
SÃO DOMINGOS,0
SÃO LOURENÇO DO OESTE,0
VARGEÃO,0
XANXERÊ,0
XAXIM,0
